timestamp,symbol,price,high,low,volume,top_bid_price,top_bid_volume,top_ask_price,top_ask_volume
2025-07-26T15:59:13.350429,BTC/USDT,118037.34,118205.39,115574.99,4.40719,118053.9,5e-05,118148.96,0.00531
2025-07-26T15:59:13.438099,ETH/USDT,3737.7,3778.28,3619.22,224.7452,3730.47,0.0028,3735.93,0.39
2025-07-26T15:59:13.526851,BNB/USDT,781.31,785.14,762.65,318.475,780.04,0.003,780.97,3.282
2025-07-26T15:59:13.614686,XRP/USDT,3.189,3.2082,3.0264,130054.3,3.1889,1.4,3.1919,22293.0
2025-07-26T15:59:13.702237,ADA/USDT,0.8305,0.8338,0.7797,256114.2,0.831,176.2,0.8322,3921.2
2025-07-26T16:00:13.842484,BTC/USDT,118037.34,118205.39,115574.99,4.4069,118015.47,0.21701,118143.8,0.00019
2025-07-26T16:00:13.931235,ETH/USDT,3737.7,3778.28,3619.22,224.7314,3731.76,0.4094,3736.69,2.8584
2025-07-26T16:00:14.020493,BNB/USDT,781.31,785.14,762.65,318.475,780.09,0.15,781.18,0.15
2025-07-26T16:00:14.109049,XRP/USDT,3.1898,3.2082,3.0264,130062.1,3.1905,310.0,3.1935,91.8
2025-07-26T16:00:14.198559,ADA/USDT,0.8313,0.8338,0.7797,256493.2,0.8318,170.0,0.8334,170.0
2025-07-26T16:01:14.296584,BTC/USDT,118029.86,118205.39,115574.99,4.40519,118023.26,0.21701,118143.79,0.03723
2025-07-26T16:01:14.384854,ETH/USDT,3737.7,3778.28,3619.22,224.7149,3733.76,0.0066,3737.94,25.5145
2025-07-26T16:01:14.472725,BNB/USDT,781.31,785.14,762.65,318.475,780.59,0.15,781.69,0.313
2025-07-26T16:01:14.560814,XRP/USDT,3.1965,3.2082,3.0264,130063.9,3.1931,796.3,3.1977,310.0
2025-07-26T16:01:14.649899,ADA/USDT,0.8313,0.8338,0.7797,256493.2,0.8323,170.0,0.8337,3019.1
2025-07-26T16:02:14.745990,BTC/USDT,118143.8,118205.39,115574.99,4.40341,118058.18,0.21701,118191.21,0.03964
2025-07-26T16:02:14.834981,ETH/USDT,3737.7,3778.28,3619.22,223.7149,3734.25,0.4028,3739.71,3.3478
2025-07-26T16:02:14.924223,BNB/USDT,781.31,785.14,762.65,318.475,780.39,0.15,781.63,0.47
2025-07-26T16:02:15.012482,XRP/USDT,3.2013,3.2082,3.0264,129996.5,3.2012,310.0,3.2013,15.6
2025-07-26T16:02:15.101131,ADA/USDT,0.834,0.834,0.7797,256574.8,0.834,7802.9,0.8341,5.7
2025-07-26T16:03:15.196068,BTC/USDT,118143.8,118205.39,115574.99,4.39453,118056.29,0.37023,118191.2,0.00023
2025-07-26T16:03:15.284586,ETH/USDT,3735.29,3778.28,3619.22,223.7155,3732.25,0.0066,3736.15,0.5153
2025-07-26T16:03:15.373492,BNB/USDT,780.39,785.14,762.65,318.492,780.01,0.15,781.43,0.15
2025-07-26T16:03:15.461569,XRP/USDT,3.2015,3.2082,3.0264,129818.0,3.2021,310.0,3.2057,1018.4
2025-07-26T16:03:15.549569,ADA/USDT,0.835,0.835,0.7797,256699.8,0.8341,170.0,0.835,12.5
